Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,36,-1_vokasikuatmenguatkanindonesia_vokasimenguatkanindonesia_pensjoss_elektronika,Promosi & Kampanye Vokasi,"['vokasikuatmenguatkanindonesia', 'vokasimenguatkanindonesia', 'pensjoss', 'elektronika', 'tingkat', 'masyarakat', 'pens', 'detik', 'juli', 'rekomendasi']",
0,1836,0_vokasikuatmenguatkanindonesia_kampustradisijuara_masyarakat_pensjoss,Kegiatan Kampus & Kompetisi Akademik,"['vokasikuatmenguatkanindonesia', 'kampustradisijuara', 'masyarakat', 'pensjoss', 'kampusvokasi', 'kompetisi', 'rangka', 'vokasi', 'informatika', 'pens']",
1,269,1_vokasikuatmenguatkanindonesia_langsung_kompetisi_tingkat,Prestasi Mahasiswa & Kompetisi,"['vokasikuatmenguatkanindonesia', 'langsung', 'kompetisi', 'tingkat', 'kopens', 'detik', 'pens', 'teknologi', 'pensjoss', 'eepis']",
2,59,2_vokasikuatmenguatkanindonesia_usung_rangkai_technology,Pengembangan Teknologi & Industri,"['vokasikuatmenguatkanindonesia', 'usung', 'rangkai', 'technology', 'kolaborasi', 'kompetisi', 'mahasiswa', 'komunitas', 'langsung', 'elektronika']",
3,35,3_deteksi_inovasi_masyarakat_disinfektan,Inovasi Mahasiswa & Kegiatan Sosial,"['deteksi', 'inovasi', 'masyarakat', 'disinfektan', 'elektronika', 'dirumahaja', 'hariaidssedunia', 'upaya', 'tingkat', 'pensjoss']",
4,33,4_vokasikuatmenguatkanindonesia_pensidbandingukt_vokasikuatmenguatkanindonesiafinalexams_bersungguhsungguhlah,Tugas Akademik & Ujian,"['vokasikuatmenguatkanindonesia', 'pensidbandingukt', 'vokasikuatmenguatkanindonesiafinalexams', 'bersungguhsungguhlah', 'kampusinovasiujiantengahsemester', 'pensjoss', 'pens', 'kunci', 'politeknikjoss', 'langsung']",
