caption,sentiment_label,like_count,comment_count,engagement_rate
buka pintu tuju masa depan kilau di kampus pens ingin cipta masa depan yang gemilang dalam dunia teknologi ayo gabung dengan keluarga besar politeknik elektronika negeri pens tempat di mana inovasi temu dengan prestasi di kampus inovasi fasilitas baik untuk kembang potensi anda laboratorium modern dan lengkap kolaborasi dengan industri lalu program magang dosen kualitas dan alam tenaga oleh tenaga ajar yang alam dan milik komitmen tinggi hadap kembang mahasiswa pens beri lingkung ajar yang inspiratif kenapa pilih pens akreditasi unggul oleh banpt jaring alumni yang kuat di dunia industri peluang kerja yang luas telah lulus kunjung situs kami untuk informasi lebih lanjut hubung kami alamat kampus pens sukolilo jawa timur email pmbpensacid nomor kontak politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi snpmb snbp snbt,positive,4074,63,13.213875047911078
selamat dan sukses politeknik elektronika negeri atas capai naik peringkat guru tinggi versi webometrics untuk institusi politeknik ikut ranking politeknik elektronika negeri tahun dan di tingkat dunia asia dan asia tenggara politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia webometrics,positive,3929,43,12.686853200459948
selamat dan sukses politeknik elektronika negeri tempat urut pertama kampus dengan bidang inovasi baik di indonesia versi scimago sumber bentuk komitmen pens jadi kampus baik dalam inovasi dan cetak lulus kualitas jalur seleksi simandiri pens masih buka informasi daftar mahasiswa baru kunjung politeknik politeknikjoss pens pensjoss banggapens inovasiterbaik scimago,positive,3536,33,11.399642263958096
belum pasuk kuliah tahun akademik badan eksekutif mahasiswa bem pens usai langsung rangkai orientasi mahasiswa baru yang sebut dengan technogear pens giat ini langsung lama tiga hari hitung sejak hari jumat hingga minggu dan ikut seluruh mahasiswa baru pens tahun angkat lalu bagai giat seperti kunjung laboratorium kenal organisasi mahasiswa ormawa dan unit giat mahasiswa ukm pens harap seluruh mahasiswa baru dapat adaptasi dengan hidup serta budaya yang sudah ada di kampus baca lengkap di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesiakampusinovasi,negative,1984,2,6.343426600229973
innalillahi wa inna ilaihi rojiun direktur dan keluarga besar politeknik elektronika negeri turut bela sungkawa atas wafat prof dr ir anang tjahjono mt guru besar politeknik elektronika negeri wafat pada kamis januari moga allah swt terima amal ibadah dan dapat tempat di jannahnya aamiin,negative,1949,37,6.343426600229973
halo sobatpens udah semester lima baru ngerasa salah jurus lalu kuliah telat terus izin ban bocor atau antara kalian ada yang salah satu sebut di video ini jangan ya dek ya politeknik politeknikjoss pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampusinovasi janganyadekya,negative,1575,22,5.100932668966399
pens politeknik elektronika negeri jawab yoiki rek politeknik no seasia tenggara praktik teori lab kece koyo game energi manufaktur proposal teliti banyak program d s terap kampus di lamongan sumenep jurus akeh pol teko teknik elektro komputer energi sampek multimedia kreatif simandiri pens sek buka gel prestasi sd juni gel utbk sd juni gel tentatif juli daftar nang pmbpensacid follow instagram penseepis gawe info luwih lanjut tag konco seng butuh info iki,neutral,5146,152,16.922192410885398
were anak pens mana nih yang paling relate sama kalian halo sobat pens tahun ajar baru sudah mulai nih jangan lupa pantengin terus instagram pens dan website bawah ini ya agar tidak tinggal informasi putar pens lengkap dapat akses di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi kampusvokasi snpmb snbp snbt,neutral,3734,281,12.824198287977516
kamu masih punya sempat besar di jalur seleksi simandiri pens masih ada sempat untuk kalian yang belum lolos snbp dan snbt jalur seleksi simandiri liput beberapa metode seleksi yaitu tes utbk simandiri nilai utbk nilai prestasi nilai raport buka lalu beberapa gelombang dan skema siap dan catat tanggal penting pendafataran dan informasi lengkap kunjung web pmbpensacid pmbpensacid pmbpensacid kami tunggu gabung kalian di kampusinovasi see you there politeknik politeknikjoss pens pensjoss simandiripens pmb jalurmandiri banggapens,neutral,3068,166,10.32962821004216
